City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
3,Rikitea,PF,78.75,-23.1203,-134.9692,Pension Maro'i
7,Inhambane,MZ,77.11,-23.865,35.3833,Oceano
8,New Norfolk,AU,69.8,-42.7826,147.0587,The Shingles Riverside Cottages
9,Port Blair,IN,82.24,11.6667,92.75,Welcomhotel Bay Island Port Blair
15,Hobart,AU,69.8,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
16,Lagoa,PT,61.66,39.05,-27.9833,Casa Das Faias
18,Georgetown,MY,82.4,5.4112,100.3354,Cititel Penang
19,Ahipara,NZ,68.99,-35.1667,173.1667,Ahipara Holiday Park
20,Butaritari,KI,80.65,3.0707,172.7902,Isles Sunset Lodge
23,Kapaa,US,78.8,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
24,East London,ZA,68.85,-33.0153,27.9116,Tu Casa
26,Atuona,PF,78.82,-9.8,-139.0333,Villa Enata
29,Bredasdorp,ZA,66.2,-34.5322,20.0403,Bredasdorp Country Manor
31,Busselton,AU,90.0,-33.65,115.3333,Observatory Guest House
33,Avarua,CK,84.2,-21.2078,-159.775,Paradise Inn
38,Vaini,TO,87.8,-21.2,-175.2,Keleti Beach Resort
41,Ilebo,CD,69.6,-4.3167,20.5833,Hôtel des palmes
43,Isiro,CD,62.67,2.7739,27.616,Guest House Hewa Bora
44,Padang,ID,82.4,-0.9492,100.3543,Mercure Padang
45,Bambous Virieux,MU,81.0,-20.3428,57.7575,Casa Tia Villa
46,Hilo,US,77.0,19.7297,-155.09,Hilo Hawaiian Hotel
49,Lazaro Cardenas,MX,74.46,17.9583,-102.2,Collection O Hotel Quinta Antigua
50,Gambissara,SN,74.75,13.2382,-14.3108,
56,Cape Town,ZA,64.99,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
58,Sao Filipe,CV,71.38,14.8961,-24.4956,Tortuga B&B
61,Airai,TL,66.09,-8.9266,125.4092,Juvinal Martin
62,Bocana De Paiwas,NI,69.84,12.7857,-85.1227,Guapinol Cabaña Monge
68,Arraial Do Cabo,BR,75.51,-22.9661,-42.0278,Pousada Porto Praia
69,Thinadhoo,MV,81.25,0.5333,72.9333,
70,Ishigaki,JP,62.6,24.3448,124.1572,Hotel Peace Land Ishigakijima
75,Poum,NC,83.37,-20.2333,164.0167,Gîte kajeon
76,Santa Rita,BR,77.0,-7.1139,-34.9781,Infinity Motel
77,Saint-Philippe,RE,78.8,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
78,Bria,CF,65.14,6.5423,21.9863,
79,Santa Cruz,BO,69.8,-17.8,-63.1667,Hotel Cortez
84,Lakes Entrance,AU,78.01,-37.8811,147.981,The Esplanade Resort & Spa
86,Rocha,UY,60.33,-34.4833,-54.3333,Beleza Pura B&B
88,Anito,PH,77.7,12.4497,125.2886,The Yellow House
89,Flinders,AU,78.01,-34.5833,150.8552,Shellharbour Resort & Conference Centre
90,Khed Brahma,IN,68.58,24.0333,73.05,UMIYA NASTA HOUSE
91,Salalah,OM,60.8,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
92,Ambovombe,MG,76.57,-25.1667,46.0833,RELAHARA
97,Obo,CF,62.55,5.3998,26.4869,
99,Santa Marta,CO,82.0,11.2408,-74.199,Hotel La Ballena Azul
100,Gilbues,BR,76.96,-9.8317,-45.3439,Hotel Camapuã
102,Caravelas,BR,73.53,-17.7125,-39.2481,Pousada dos Navegantes
104,Faanui,PF,82.02,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
