City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Barrow,71.2906,-156.7887,-4.0,77,40,14.97,US,2021-01-18 02:48:25
1,Nikolskoye,59.7035,30.7861,19.4,93,75,6.71,RU,2021-01-18 02:51:15
2,Gedo,9.0167,37.45,51.3,55,62,3.6,ET,2021-01-18 02:58:05
3,Rikitea,-23.1203,-134.9692,78.75,74,11,9.89,PF,2021-01-18 02:50:50
4,Oranjemund,-28.55,16.4333,61.23,92,0,2.21,NA,2021-01-18 02:58:05
5,Jamestown,42.097,-79.2353,30.99,100,90,9.22,US,2021-01-18 02:58:06
6,Punta Arenas,-53.15,-70.9167,53.6,66,90,16.11,CL,2021-01-18 02:57:28
7,Inhambane,-23.865,35.3833,77.11,92,100,13.73,MZ,2021-01-18 02:58:06
8,New Norfolk,-42.7826,147.0587,69.8,43,40,25.32,AU,2021-01-18 02:58:06
9,Port Blair,11.6667,92.75,82.24,72,49,19.55,IN,2021-01-18 02:58:07
10,Chokurdakh,70.6333,147.9167,-27.11,84,100,6.55,RU,2021-01-18 02:58:07
11,Pevek,69.7008,170.3133,-30.68,85,6,3.22,RU,2021-01-18 02:58:07
12,Ketchikan,55.3422,-131.6461,42.8,100,90,8.05,US,2021-01-18 02:51:32
13,Guozhen,34.3659,107.359,46.63,45,0,2.86,CN,2021-01-18 02:58:08
14,Danville,36.586,-79.395,41.0,56,90,4.61,US,2021-01-18 02:58:08
15,Hobart,-42.8794,147.3294,69.8,43,40,25.32,AU,2021-01-18 02:50:43
16,Lagoa,39.05,-27.9833,61.66,81,39,28.5,PT,2021-01-18 02:52:09
17,Shinichi,34.55,133.2667,44.01,56,20,9.22,JP,2021-01-18 02:58:09
18,Georgetown,5.4112,100.3354,82.4,61,20,9.22,MY,2021-01-18 02:50:42
19,Ahipara,-35.1667,173.1667,68.99,57,7,10.85,NZ,2021-01-18 02:58:09
20,Butaritari,3.0707,172.7902,80.65,75,44,19.04,KI,2021-01-18 02:50:37
21,Ushuaia,-54.8,-68.3,50.0,81,75,17.27,AR,2021-01-18 02:50:04
22,Klaksvik,62.2266,-6.589,32.0,100,40,8.05,FO,2021-01-18 02:51:23
23,Kapaa,22.0752,-159.319,78.8,73,75,17.27,US,2021-01-18 02:51:04
24,East London,-33.0153,27.9116,68.85,72,68,4.99,ZA,2021-01-18 02:50:40
25,Leh,34.1667,77.5833,13.33,69,91,1.36,IN,2021-01-18 02:58:12
26,Atuona,-9.8,-139.0333,78.82,78,71,15.93,PF,2021-01-18 02:50:33
27,Wajima,37.4,136.9,32.0,100,75,10.36,JP,2021-01-18 02:52:50
28,Tuktoyaktuk,69.4541,-133.0374,-4.0,84,90,12.66,CA,2021-01-18 02:50:39
29,Bredasdorp,-34.5322,20.0403,66.2,77,58,10.36,ZA,2021-01-18 02:50:38
30,Albany,42.6001,-73.9662,36.0,73,32,6.82,US,2021-01-18 02:48:23
31,Busselton,-33.65,115.3333,90.0,29,0,5.01,AU,2021-01-18 02:58:13
32,Hamilton,39.1834,-84.5333,32.0,86,90,9.22,US,2021-01-18 02:48:18
33,Avarua,-21.2078,-159.775,84.2,70,20,8.05,CK,2021-01-18 02:48:24
34,Chesapeake,36.819,-76.2749,42.8,56,1,3.44,US,2021-01-18 02:57:11
35,Kodiak,57.79,-152.4072,37.4,70,90,16.11,US,2021-01-18 02:58:14
36,Moses Lake,47.1301,-119.2781,39.2,81,1,6.91,US,2021-01-18 02:58:15
37,Bluff,-46.6,168.3333,54.0,83,96,3.0,NZ,2021-01-18 02:50:38
38,Vaini,-21.2,-175.2,87.8,74,75,12.66,TO,2021-01-18 02:50:37
39,Havre-Saint-Pierre,50.2334,-63.5986,33.8,93,90,11.5,CA,2021-01-18 02:47:41
40,Eregli,37.5133,34.0467,26.24,94,98,2.82,TR,2021-01-18 02:58:16
41,Ilebo,-4.3167,20.5833,69.6,95,84,0.81,CD,2021-01-18 02:58:16
42,Marshall,34.3834,-86.3333,42.8,45,40,9.22,US,2021-01-18 02:58:16
43,Isiro,2.7739,27.616,62.67,86,98,1.3,CD,2021-01-18 02:58:17
44,Padang,-0.9492,100.3543,82.4,74,40,2.3,ID,2021-01-18 02:50:59
