City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bafq,31.6128,55.4107,46.47,46,0,1.72,IR,2021-01-16 02:04:17
1,Hilo,19.7297,-155.09,82.4,57,20,13.8,US,2021-01-16 02:00:11
2,Punta Arenas,-53.15,-70.9167,51.8,87,20,11.5,CL,2021-01-16 02:02:23
3,East London,-33.0153,27.9116,70.63,74,22,18.92,ZA,2021-01-16 01:59:41
4,Karratha,-20.7377,116.8463,94.91,49,40,13.15,AU,2021-01-16 02:04:17
5,Sosua,19.7667,-70.5167,71.6,94,40,5.82,DO,2021-01-16 02:04:17
6,Sobolevo,54.4299,31.8996,-9.44,90,63,5.59,RU,2021-01-16 02:04:18
7,Barrow,71.2906,-156.7887,-9.4,70,90,18.41,US,2021-01-16 01:59:40
8,Puerto Ayora,-0.7393,-90.3518,73.99,94,93,1.01,EC,2021-01-16 02:04:18
9,Atuona,-9.8,-139.0333,77.74,75,5,11.74,PF,2021-01-16 01:59:31
10,Port Alfred,-33.5906,26.891,66.99,85,12,5.99,ZA,2021-01-16 02:04:18
11,Khatanga,71.9667,102.5,-44.25,78,29,3.11,RU,2021-01-16 02:04:18
12,Popondetta,-8.7537,148.2534,81.93,88,100,4.14,PG,2021-01-16 02:04:19
13,Buala,-8.145,159.5921,86.29,64,99,7.92,SB,2021-01-16 02:04:19
14,Kloulklubed,7.0419,134.2556,80.6,89,90,8.05,PW,2021-01-16 02:04:19
15,Carnarvon,-24.8667,113.6333,84.2,84,0,10.36,AU,2021-01-16 02:04:19
16,Rikitea,-23.1203,-134.9692,79.63,67,0,7.96,PF,2021-01-16 01:59:36
17,Port Elizabeth,-33.918,25.5701,66.2,82,40,26.46,ZA,2021-01-16 02:04:20
18,Vaini,-21.2,-175.2,87.8,74,75,10.36,TO,2021-01-16 02:04:20
19,Meulaboh,4.1363,96.1285,80.64,76,28,5.12,ID,2021-01-16 02:04:20
20,Sao Filipe,14.8961,-24.4956,72.95,69,100,12.26,CV,2021-01-16 02:04:20
21,Saint-Augustin,51.226,-58.6502,21.63,94,0,6.8,CA,2021-01-16 02:04:21
22,Cidreira,-30.1811,-50.2056,76.73,83,38,20.94,BR,2021-01-16 02:04:21
23,Mataura,-46.1927,168.8643,73.0,63,0,8.99,NZ,2021-01-16 02:02:48
24,Vila Velha,-20.3297,-40.2925,77.0,83,40,4.61,BR,2021-01-16 02:01:47
25,Codrington,-38.2667,141.9667,59.63,70,100,16.26,AU,2021-01-16 02:04:21
26,Vanavara,60.34,102.2797,-42.05,77,0,3.27,RU,2021-01-16 02:01:13
27,Yellowknife,62.456,-114.3525,10.4,85,90,16.11,CA,2021-01-16 02:00:07
28,Butaritari,3.0707,172.7902,81.27,78,3,20.96,KI,2021-01-16 02:04:22
29,Ribeira Grande,38.5167,-28.7,61.2,84,28,6.49,PT,2021-01-16 01:59:35
30,Hithadhoo,-0.6,73.0833,81.82,77,81,15.1,MV,2021-01-16 02:04:22
31,Nuuk,64.1835,-51.7216,21.2,63,75,6.06,GL,2021-01-16 01:59:49
32,Qaanaaq,77.484,-69.3632,9.93,91,97,1.79,GL,2021-01-16 02:04:23
33,Cabo San Lucas,22.8909,-109.9124,71.6,18,1,6.91,MX,2021-01-16 02:04:23
34,Chernyshevskiy,63.0128,112.4714,-43.31,82,100,2.68,RU,2021-01-16 02:04:23
35,Skjervoy,70.0311,20.9714,40.21,75,100,25.5,NO,2021-01-16 02:04:23
36,Seymchan,62.8833,152.4333,-29.02,82,100,1.79,RU,2021-01-16 02:04:23
37,Mulchen,-37.7167,-72.2333,56.97,58,0,8.41,CL,2021-01-16 02:04:24
38,Tasiilaq,65.6145,-37.6368,32.0,93,75,17.27,GL,2021-01-16 02:04:24
39,Longyearbyen,78.2186,15.6401,15.8,86,75,9.22,SJ,2021-01-16 02:04:24
40,Tabas,33.5959,56.9244,32.0,25,0,5.08,IR,2021-01-16 02:04:24
41,Tucumcari,35.1717,-103.725,33.8,37,1,1.52,US,2021-01-16 02:04:24
42,Cherskiy,68.75,161.3,-20.69,87,99,4.18,RU,2021-01-16 02:04:25
43,Albany,42.6001,-73.9662,39.99,77,100,9.62,US,2021-01-16 02:04:03
44,Enshi,30.3,109.4833,46.99,51,100,5.41,CN,2021-01-16 02:04:25
45,Ilulissat,69.2167,-51.1,15.8,62,75,9.22,GL,2021-01-16 02:04:25
46,Paamiut,61.994,-49.6678,23.7,94,93,13.94,GL,2021-01-16 02:04:25
47,Tuktoyaktuk,69.4541,-133.0374,-13.0,77,90,16.11,CA,2021-01-16 02:04:26
48,Kahului,20.8947,-156.47,86.0,48,1,8.05,US,2021-01-16 02:00:04
49,Mahebourg,-20.4081,57.7,78.8,89,40,8.05,MU,2021-01-16 02:04:26
